query_index,neighbor_index,similarity_score,group_label
235124,197292,0.9873523712158203,1
235124,224984,0.9872373342514038,1
121158,125114,0.9893108606338501,0
121158,120754,0.9891495704650879,0
121158,277826,0.9882667064666748,1
121158,124664,0.9872191548347473,0
121158,125836,0.9862277507781982,0
12594,159090,0.9914178252220154,1
12594,19005,0.9909346103668213,0
12594,236393,0.9906166195869446,1
12594,24189,0.990384578704834,0
12594,15600,0.9903585314750671,0
6794,175027,0.9950205683708191,1
6794,172020,0.9947649240493774,1
6794,5646,0.9946416020393372,0
6794,158202,0.9946212768554688,1
6794,27412,0.9944405555725098,0
199616,191276,0.9942299723625183,1
199616,98329,0.993840217590332,0
199616,84958,0.993207573890686,0
199616,257907,0.9927664995193481,1
199616,181500,0.9927517175674438,1
206158,205730,0.9920027256011963,1
206158,207804,0.9882206916809082,1
206158,207718,0.9875794649124146,1
206158,207084,0.98708575963974,1
206158,285087,0.9867556095123291,1
5080,148788,0.9988459944725037,1
5080,194981,0.9968371987342834,1
5080,57221,0.9966033101081848,0
5080,8326,0.9965904951095581,0
5080,39628,0.9965846538543701,0
166446,25614,0.9840433597564697,0
166446,168559,0.9838079214096069,1
166446,10609,0.9837784767150879,0
166446,17356,0.9833932518959045,0
166446,193048,0.9833055138587952,1
250784,71893,0.9956381320953369,0
250784,63883,0.9942883849143982,0
250784,104022,0.9938437938690186,0
250784,661,0.9924424290657043,0
250784,72439,0.9924144148826599,0
195782,208026,0.9595628380775452,1
195782,233418,0.9591116905212402,1
195782,196206,0.9570697546005249,1
195782,107364,0.9566145539283752,0
195782,21226,0.955370306968689,0
198955,198582,0.9974019527435303,1
198955,64979,0.9972571730613708,0
198955,55577,0.9969863891601562,0
198955,53859,0.9968977570533752,0
198955,207824,0.9967193007469177,1
79098,79453,0.9983552694320679,0
79098,79344,0.9973136186599731,0
79098,79662,0.9967419505119324,0
79098,187963,0.9955322742462158,1
79098,214736,0.9954173564910889,1
186468,186563,0.9974576234817505,1
186468,148060,0.9899473190307617,1
186468,22678,0.9884085655212402,0
186468,196241,0.9874868392944336,1
186468,70277,0.9872524738311768,0
1645,146235,0.9954578876495361,1
1645,1946,0.9952607154846191,0
1645,1226,0.9948831796646118,0
1645,145302,0.9947795867919922,1
1645,1624,0.9946660995483398,0
53872,43430,0.9869981408119202,0
53872,228599,0.986496090888977,1
53872,186223,0.9851442575454712,1
53872,131184,0.9831375479698181,0
53872,80501,0.9827565550804138,0
280561,289542,0.9790762066841125,1
280561,303081,0.9784581661224365,1
280561,141071,0.9761330485343933,0
280561,293877,0.9750962853431702,1
280561,300541,0.9732283353805542,1
38206,181144,0.9950321912765503,1
38206,181579,0.9890623092651367,1
38206,86503,0.9889203310012817,0
38206,181278,0.987636148929596,1
38206,173210,0.9874846339225769,1
10324,27880,0.9951685667037964,0
10324,181057,0.9948729276657104,1
10324,147991,0.9941775798797607,1
10324,10390,0.994035005569458,0
10324,189407,0.9940239191055298,1
841,408,0.9984443187713623,0
841,1401,0.9949886798858643,0
841,614,0.9944133758544922,0
841,108714,0.9942324161529541,0
841,1054,0.9941465854644775,0
287429,285132,0.9732826948165894,1
287429,280833,0.9726539254188538,1
287429,288518,0.9723461866378784,1
287429,305357,0.9722793102264404,1
287429,291466,0.9708331823348999,1
